,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,temp_planet_mass,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,pl_discmethod,pl_denserr2,st_tefferr1,st_tefferr2,st_masserr1,st_masslim,host_radius,st_raderr1,st_raderr2,rowupdate,pl_facility
4027,TOI-1235 b,129,6.91 Earths,11.495,2020,Super Earth,6.91 Earths,1.738 x Earth,0.03845 AU,3.4 days,< 0.15,TOI-1235,Transit,-1.3,70,-70,0.02,0,0.63,0.01,-0.01,04-06-2020,Transiting Exoplanet Survey Satellite (TESS)
4028,TOI-125 b,363,9.5 Earths,10.892,2019,Neptune-like,9.5 Earths,0.243 x Jupiter,0.05186 AU,4.7 days,0.19,TOI-125,Transit,-0.33,39,-39,0.04,0,0.85,0.01,-0.01,13-02-2020,Transiting Exoplanet Survey Satellite (TESS)
4029,TOI-125 c,363,6.63 Earths,10.892,2019,Neptune-like,6.63 Earths,0.246 x Jupiter,0.0814 AU,9.2 days,0.07,TOI-125,Transit,-0.33,39,-39,0.04,0,0.85,0.01,-0.01,13-02-2020,Transiting Exoplanet Survey Satellite (TESS)
4030,TOI-125 d,363,13.6 Earths,10.892,2020,Neptune-like,13.6 Earths,0.261 x Jupiter,0.137 AU,20 days,0.17,TOI-125,Transit,-0.52,39,-39,0.04,0,0.85,0.01,-0.01,13-02-2020,Transiting Exoplanet Survey Satellite (TESS)
4031,TOI-132 b,537,22.4 Earths,11.321,2020,Neptune-like,22.4 Earths,0.305 x Jupiter,0.026 AU,2.1 days,0.06,TOI-132,Transit,-0.46,46,-46,0.06,0,0.9,0.02,-0.02,27-02-2020,Transiting Exoplanet Survey Satellite (TESS)
4032,TOI-1338 b,1317,33 Earths,11.72,2020,Neptune-like,33 Earths,0.611 x Jupiter,0.4607 AU,95.2 days,0.09,TOI-1338,Transit,-0.33,80,-80,0.07,0,1.33,0.02,-0.03,04-06-2020,Transiting Exoplanet Survey Satellite (TESS)
4033,TOI-150.01,1096,2.51 Jupiters,11.341,2019,Gas Giant,2.51 Jupiters,1.255 x Jupiter,0.07037 AU,5.9 days,0.26,TOI-150,Transit,-0.12,90,-90,0.04,0,1.53,0.01,-0.01,07-11-2019,Transiting Exoplanet Survey Satellite (TESS)
4034,TOI-157 b,1181,1.18 Jupiters,12.73,2020,Gas Giant,1.18 Jupiters,1.286 x Jupiter,0.03138 AU,2.1 days,0,TOI-157,Transit,-0.078,70,-67,0.02,0,1.17,0.02,-0.01,23-07-2020,Transiting Exoplanet Survey Satellite (TESS)
4035,TOI-163 b,1359,1.22 Jupiters,11.219,2019,Gas Giant,1.22 Jupiters,1.489 x Jupiter,0.058 AU,4.2 days,0,TOI-163,Transit,-0.055,90,-90,0.03,0,1.65,0.02,-0.03,07-11-2019,Transiting Exoplanet Survey Satellite (TESS)
4036,TOI-169 b,1346,0.791 Jupiters,12.36,2020,Gas Giant,0.791 Jupiters,1.086 x Jupiter,0.03524 AU,2.3 days,0,TOI-169,Transit,-0.17,54,-49,0.07,0,1.29,0.02,-0.02,23-07-2020,Transiting Exoplanet Survey Satellite (TESS)
4037,TOI-1728 b,198,26.78 Earths,12.4,2020,Neptune-like,26.78 Earths,0.451 x Jupiter,0.0391 AU,3.5 days,0.06,TOI-172,Transit,-0.72,50,-50,0.07,0,1.78,0.05,-0.04,28-03-2019,Transiting Exoplanet Survey Satellite (TESS)
4038,TOI-172 b,1098,5.42 Jupiters,11.193,2019,Gas Giant,5.42 Jupiters,0.965 x Jupiter,0.0914 AU,9.5 days,0.38,TOI-1728,Transit,-0.24,31,-32,0.02,0,0.62,0.01,-0.01,09-07-2020,Transiting Exoplanet Survey Satellite (TESS)
4039,TOI-1899 b,419,0.66 Jupiters,13.555,2020,Gas Giant,0.66 Jupiters,1.37 x Jupiter,0.1587 AU,29 days,0.12,TOI-1899,Transit,-0.06,54,-45,0.03,0,0.61,0.02,-0.02,23-07-2020,Transiting Exoplanet Survey Satellite (TESS)
4040,TOI-216.01,583,0.62927 Jupiters,12.324,2019,Gas Giant,0.62927 Jupiters,1.007 x Jupiter,0.2069 AU,34.6 days,0.03,TOI-216,Transit,-0.38,125,-125,0.04,0,0.84,0.04,-0.03,09-05-2019,Transiting Exoplanet Survey Satellite (TESS)
4041,TOI-216.02,583,30 Earths,12.324,2019,Neptune-like,30 Earths,0.686 x Jupiter,0.1293 AU,17.1 days,0.13,TOI-216,Transit,-0.18,125,-125,0.04,0,0.84,0.04,-0.03,09-05-2019,Transiting Exoplanet Survey Satellite (TESS)
4042,TOI-270 b,73,2.09 Earths,12.62,2019,Super Earth,2.09 Earths,1.247 x Earth,0.0306 AU,3.4 days,0,TOI-270,Transit,,137,-131,0.02,0,0.38,0.02,-0.02,01-08-2019,Transiting Exoplanet Survey Satellite (TESS)
4043,TOI-270 c,73,6.44 Earths,12.62,2019,Neptune-like,6.44 Earths,0.216 x Jupiter,0.0472 AU,5.7 days,0,TOI-270,Transit,,137,-131,0.02,0,0.38,0.02,-0.02,01-08-2019,Transiting Exoplanet Survey Satellite (TESS)
4044,TOI-270 d,73,5.18 Earths,12.62,2019,Neptune-like,5.18 Earths,2.13 x Earth,0.0733 AU,11.4 days,0,TOI-270,Transit,,137,-131,0.02,0,0.38,0.02,-0.02,01-08-2019,Transiting Exoplanet Survey Satellite (TESS)
4045,TOI-677 b,464,1.236 Jupiters,9.8,2020,Gas Giant,1.236 Jupiters,1.17 x Jupiter,0.1038 AU,11.2 days,0.44,TOI-677,Transit,,77,-77,0.06,0,1.28,0.03,-0.03,07-05-2020,Transiting Exoplanet Survey Satellite (TESS)
4046,TOI-700 b,101,1.11 Earths,13.072,2020,Super Earth,1.11 Earths,1.037 x Earth,0.0677 AU,10 days,0.08,TOI-700,Transit,,66,-66,0.02,0,0.42,0.02,-0.02,23-07-2020,Transiting Exoplanet Survey Satellite (TESS)
4047,TOI-700 c,101,7.51 Earths,13.072,2020,Neptune-like,7.51 Earths,0.236 x Jupiter,0.0929 AU,16.1 days,0.08,TOI-700,Transit,,66,-66,0.02,0,0.42,0.02,-0.02,23-07-2020,Transiting Exoplanet Survey Satellite (TESS)
4048,TOI-700 d,101,1.57 Earths,13.072,2020,Super Earth,1.57 Earths,1.144 x Earth,0.1633 AU,37.4 days,0.11,TOI-700,Transit,,66,-66,0.02,0,0.42,0.02,-0.02,23-07-2020,Transiting Exoplanet Survey Satellite (TESS)
