,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,temp_planet_mass,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,pl_discmethod,pl_denserr2,st_tefferr1,st_tefferr2,st_masserr1,st_masslim,host_radius,st_raderr1,st_raderr2,rowupdate,pl_facility
1042,K2-11 b,1084,0.14 Jupiters,13.386,2015,Gas Giant,0.14 Jupiters,0.674 x Jupiter,0.2257 AU,39.9 days,0,K2-119,Transit,,100,-100,0.02,0,0.71,0.01,-0.01,26-10-2018,K2
1043,K2-120 b,944,4.7 Earths,14.045,2017,Super Earth,4.7 Earths,2.01 x Earth,0.078 AU,9.6 days,0.14,K2-12,Transit,,53,-90,0.05,0,1.01,0.27,-0.09,16-07-2015,K2
1044,K2-121 b,556,0.138 Jupiters,13.319,2017,Gas Giant,0.138 Jupiters,0.669 x Jupiter,0.0525 AU,5.2 days,0.22,K2-120,Transit,,101.62,-96.12,0.07,0,0.67,0.04,-0.03,05-10-2017,K2
1045,K2-122 b,235,1.92 Earths,13.15,2017,Super Earth,1.92 Earths,1.21 x Earth,0.0285 AU,2.2 days,0.21,K2-121,Transit,,74,-74,0.01,0,0.68,0.01,-0.01,26-10-2018,K2
1046,K2-123 b,530,8.05 Earths,14.781,2017,Neptune-like,8.05 Earths,0.246 x Jupiter,0.1649 AU,31 days,0.06,K2-122,Transit,,45,-45,0.01,0,0.6,0.01,-0.01,26-10-2018,K2
1047,K2-124 b,458,8.75 Earths,15.462,2017,Neptune-like,8.75 Earths,0.259 x Jupiter,0.049 AU,6.4 days,0.08,K2-123,Transit,,52,-52,0.01,0,0.59,0.01,-0.01,26-10-2018,K2
1048,K2-125 b,406,5.39 Earths,16.122,2017,Neptune-like,5.39 Earths,2.18 x Earth,0.121 AU,21.8 days,0.08,K2-124,Transit,,63,-70,0.01,0,0.39,0.02,-0.01,31-01-2019,K2
1049,K2-126 b,337,4.54 Earths,12.918,2017,Super Earth,4.54 Earths,1.97 x Earth,0.0656 AU,7.4 days,0.06,K2-125,Transit,,99.56,-92.33,0.05,0,0.4,0.03,-0.03,05-10-2017,K2
1050,K2-127 b,2362,0.167 Jupiters,15.037,2017,Gas Giant,0.167 Jupiters,0.747 x Jupiter,0.0411 AU,3.6 days,0.12,K2-126,Transit,,92,-92,0.01,0,0.65,0.01,-0.01,26-10-2018,K2
1051,K2-128 b,375,2.6 Earths,12.627,2017,Super Earth,2.6 Earths,1.42 x Earth,0.056 AU,5.7 days,0.23,K2-127,Transit,,74,-74,0.01,0,0.66,0.01,-0.01,26-10-2018,K2
1052,K2-129 b,91,1.12 Earths,13.63,2017,Super Earth,1.12 Earths,1.04 x Earth,0.057 AU,8.2 days,0.13,K2-128,Transit,,171.97,-145.15,0.07,0,0.78,0.08,-0.06,05-10-2017,K2
1053,K2-12 b,1074,6.04 Earths,12.258,2015,Neptune-like,6.04 Earths,0.208 x Jupiter,0.0802 AU,8.3 days,0,K2-129,Transit,,89.05,-83.62,0.07,0,0.36,0.03,-0.03,05-10-2017,K2
1054,K2-130 b,386,2.1 Earths,12.759,2017,Super Earth,2.1 Earths,1.25 x Earth,0.032 AU,2.5 days,0.17,K2-13,Transit,,45,-82,0.04,0,0.78,0.09,-0.05,16-07-2015,K2
1055,K2-131 b,501,6.3 Earths,12.115,2017,Super Earth,6.3 Earths,1.7 x Earth,0.0095 AU,0.4 days,0,K2-130,Transit,,196.73,-172.4,0.07,0,0.74,0.11,-0.08,05-10-2017,K2
1056,K2-132 b,2024,0.49 Jupiters,11.897,2017,Gas Giant,0.49 Jupiters,1.3 x Jupiter,0.0916 AU,9.2 days,0.29,K2-131,Transit,,46,-52,0.01,0,0.75,0.01,-0.01,12-07-2018,K2
1057,K2-133 b,245,2.36 Earths,14.288,2017,Super Earth,2.36 Earths,1.34 x Earth,0.03194 AU,3.1 days,0,K2-132,Transit,,90,-90,0.08,0,3.85,0.13,-0.13,19-10-2017,K2
1058,K2-133 c,245,3.2 Earths,14.288,2017,Super Earth,3.2 Earths,1.603 x Earth,0.04341 AU,4.9 days,0,K2-133,Transit,,80,-80,0.01,0,0.46,0.02,-0.02,23-05-2019,K2
1059,K2-133 d,245,4.67 Earths,14.288,2017,Super Earth,4.67 Earths,2.003 x Earth,0.07487 AU,11 days,0,K2-133,Transit,,80,-80,0.01,0,0.46,0.02,-0.02,23-05-2019,K2
1060,K2-133 e,245,3.64 Earths,14.288,2019,Super Earth,3.64 Earths,1.73 x Earth,0.1346 AU,26.6 days,0,K2-133,Transit,,80,-80,0.01,0,0.46,0.02,-0.02,23-05-2019,K2
1061,K2-136 b,194,0.937 Earths,10.855,2017,Terrestrial,0.937 Earths,0.99 x Earth,Unknown,8 days,0.1,K2-133,Transit,,80,-80,0.01,0,0.46,0.02,-0.02,23-05-2019,K2
1062,K2-136 c,194,8.8 Earths,10.855,2017,Neptune-like,8.8 Earths,0.26 x Jupiter,0.11728 AU,17.3 days,0.13,K2-136,Transit,,50,-50,0.02,0,0.66,0.02,-0.02,09-11-2017,K2
1063,K2-136 d,194,2.7 Earths,10.855,2017,Super Earth,2.7 Earths,1.45 x Earth,Unknown,25.6 days,0.14,K2-136,Transit,,50,-50,0.02,0,0.66,0.02,-0.02,09-11-2017,K2
1064,K2-137 b,323,0.5 Jupiters,15.498,2017,Terrestrial,0.5 Jupiters,0.89 x Earth,0.0058 AU,0.2 days,0,K2-136,Transit,,50,-50,0.02,0,0.66,0.02,-0.02,09-11-2017,K2
1065,K2-138 b,597,3.09 Earths,12.21,2017,Super Earth,3.09 Earths,1.57 x Earth,0.0338 AU,2.4 days,< 0.403,K2-137,Transit,,70,-70,0.05,0,0.44,0.04,-0.04,16-11-2017,K2
1066,K2-138 c,597,6.9 Earths,12.21,2017,Neptune-like,6.9 Earths,0.225 x Jupiter,0.04454 AU,3.6 days,< 0.296,K2-138,Transit,,60,-60,0.06,0,0.86,0.08,-0.08,11-01-2018,K2
1067,K2-138 d,597,7.56 Earths,12.21,2017,Neptune-like,7.56 Earths,0.237 x Jupiter,0.05883 AU,5.4 days,< 0.348,K2-138,Transit,,60,-60,0.06,0,0.86,0.08,-0.08,11-01-2018,K2
1068,K2-138 e,597,10.8 Earths,12.21,2017,Neptune-like,10.8 Earths,0.294 x Jupiter,0.07807 AU,8.3 days,< 0.315,K2-138,Transit,,60,-60,0.06,0,0.86,0.08,-0.08,11-01-2018,K2
1069,K2-138 f,597,8.3 Earths,12.21,2017,Neptune-like,8.3 Earths,0.251 x Jupiter,0.1043 AU,12.8 days,< 0.364,K2-138,Transit,,60,-60,0.06,0,0.86,0.08,-0.08,11-01-2018,K2
1070,K2-139 b,504,0.387 Jupiters,11.653,2017,Gas Giant,0.387 Jupiters,0.813 x Jupiter,0.1796 AU,28.4 days,0.12,K2-138,Transit,,60,-60,0.06,0,0.86,0.08,-0.08,11-01-2018,K2
1071,K2-13 b,1128,4.23 Earths,12.901,2015,Super Earth,4.23 Earths,1.89 x Earth,0.2114 AU,39.9 days,0,K2-139,Transit,,68,-68,0.02,0,0.88,0.01,-0.01,26-10-2018,K2
1072,K2-140 b,1114,1.019 Jupiters,12.624,2017,Gas Giant,1.019 Jupiters,1.093 x Jupiter,0.0687 AU,6.6 days,0.12,K2-14,Transit,,17,-16,0.01,0,0.45,0.01,-0.01,16-07-2015,K2
1073,K2-141 b,202,5.08 Earths,11.389,2018,Super Earth,5.08 Earths,1.51 x Earth,0.00716 AU,0.3 days,0,K2-140,Transit,,50,-48,0.02,0,0.99,0.01,-0.01,12-07-2018,K2
1074,K2-141 c,202,7.4 Earths,11.389,2018,Neptune-like,7.4 Earths,0.624 x Jupiter,Unknown,7.7 days,0,K2-141,Transit,-1.1,79,-79,0.03,0,0.68,0.02,-0.02,18-01-2018,K2
1075,K2-146 b,259,5.77 Earths,16.248,2018,Super Earth,5.77 Earths,2.05 x Earth,0.0259 AU,2.6 days,0.13,K2-141,Transit,,79,-79,0.03,0,0.68,0.02,-0.02,18-01-2018,K2
1076,K2-146 c,259,7.49 Earths,16.248,2019,Super Earth,7.49 Earths,2.19 x Earth,Unknown,4 days,0.08,K2-146,Transit,-0.21,70,-70,0.01,0,0.33,0.01,-0.01,15-08-2019,K2
1077,K2-147 b,287,2.48 Earths,14.019,2018,Super Earth,2.48 Earths,1.38 x Earth,0.0159 AU,1 days,0,K2-146,Transit,-0.27,70,-70,0.01,0,0.33,0.01,-0.01,15-08-2019,K2
1078,K2-148 b,395,2.33 Earths,13.507,2018,Super Earth,2.33 Earths,1.33 x Earth,0.0454 AU,4.4 days,0,K2-147,Transit,,70,-70,0.06,0,0.55,0.06,-0.06,01-02-2018,K2
1079,K2-148 c,395,3.64 Earths,13.507,2018,Super Earth,3.64 Earths,1.73 x Earth,0.0616 AU,6.9 days,0,K2-148,Transit,,70,-70,0.06,0,0.63,0.06,-0.06,01-02-2018,K2
1080,K2-148 d,395,3.33 Earths,13.507,2018,Super Earth,3.33 Earths,1.64 x Earth,0.0774 AU,9.8 days,0,K2-148,Transit,,70,-70,0.06,0,0.63,0.06,-0.06,01-02-2018,K2
1081,K2-149 b,385,3.33 Earths,14.484,2018,Super Earth,3.33 Earths,1.64 x Earth,0.083 AU,11.3 days,0,K2-148,Transit,,70,-70,0.06,0,0.63,0.06,-0.06,01-02-2018,K2
1082,K2-14 b,1200,20.7 Earths,16.31,2015,Neptune-like,20.7 Earths,0.429 x Jupiter,0.0627 AU,8.4 days,0.14,K2-149,Transit,,70,-70,0.06,0,0.57,0.06,-0.06,01-02-2018,K2
1083,K2-150 b,359,4.66 Earths,15.829,2018,Super Earth,4.66 Earths,2.0 x Earth,0.0727 AU,10.6 days,0,K2-15,Transit,,69,-65,0.06,0,0.68,0.06,-0.03,16-07-2015,K2
1084,K2-151 b,227,2.83 Earths,14.14,2018,Super Earth,2.83 Earths,1.49 x Earth,0.0373 AU,3.8 days,0,K2-150,Transit,,70,-70,0.05,0,0.44,0.04,-0.04,01-02-2018,K2
1085,K2-152 b,355,5.86 Earths,13.728,2018,Neptune-like,5.86 Earths,0.204 x Jupiter,0.1716 AU,32.6 days,0,K2-151,Transit,,32,-32,0.01,0,0.45,0.01,-0.01,26-10-2018,K2
1086,K2-153 b,468,4.66 Earths,14.979,2018,Super Earth,4.66 Earths,2.0 x Earth,0.0614 AU,7.5 days,0,K2-152,Transit,,34,-35,0.01,0,0.61,0.01,-0.01,12-07-2018,K2
1087,K2-154 b,423,4.62 Earths,14.033,2018,Super Earth,4.62 Earths,1.99 x Earth,0.0405 AU,3.7 days,0,K2-153,Transit,,37,-37,0.01,0,0.53,0.01,-0.01,12-07-2018,K2
1088,K2-154 c,423,4.94 Earths,14.033,2018,Super Earth,4.94 Earths,2.07 x Earth,0.0677 AU,8 days,0,K2-154,Transit,,40,-45,0.02,0,0.63,0.01,-0.01,12-07-2018,K2
1089,K2-155 b,267,3.89 Earths,12.806,2018,Super Earth,3.89 Earths,1.8 x Earth,0.0562 AU,6.3 days,0,K2-154,Transit,,40,-45,0.02,0,0.63,0.01,-0.01,12-07-2018,K2
1090,K2-155 c,267,7.27 Earths,12.806,2018,Neptune-like,7.27 Earths,0.232 x Jupiter,0.0946 AU,13.9 days,0,K2-155,Transit,,150,-150,0.06,0,0.58,0.06,-0.03,26-04-2018,K2
1091,K2-155 d,267,4.27 Earths,12.806,2018,Super Earth,4.27 Earths,1.9 x Earth,0.1937 AU,40.7 days,0,K2-155,Transit,,150,-150,0.06,0,0.58,0.06,-0.03,26-04-2018,K2
1092,K2-156 b,491,1.6 Earths,13.424,2018,Super Earth,1.6 Earths,1.15 x Earth,0.0149 AU,0.8 days,0,K2-155,Transit,,150,-150,0.06,0,0.58,0.06,-0.03,26-04-2018,K2
1093,K2-157 b,981,1.18 Earths,12.823,2018,Super Earth,1.18 Earths,1.055 x Earth,Unknown,0.4 days,0,K2-156,Transit,,50,-50,0.02,0,0.66,0.01,-0.01,12-07-2018,K2
1094,K2-158 b,647,7.46 Earths,11.774,2018,Neptune-like,7.46 Earths,0.236 x Jupiter,0.0887 AU,10.1 days,0,K2-157,Transit,,50,-50,0.02,0,0.88,0.05,-0.03,15-02-2018,K2
1095,K2-158 c,647,2.18 Earths,11.774,2018,Super Earth,2.18 Earths,1.28 x Earth,0.0622 AU,5.9 days,0,K2-158,Transit,,51,-48,0.03,0,0.95,0.02,-0.02,12-07-2018,K2
1096,K2-159 b,561,5.73 Earths,11.994,2018,Neptune-like,5.73 Earths,0.202 x Jupiter,0.1013 AU,12.4 days,0,K2-158,Transit,,51,-48,0.03,0,0.95,0.02,-0.02,12-07-2018,K2
1097,K2-15 b,1634,6.71 Earths,14.663,2015,Neptune-like,6.71 Earths,0.221 x Jupiter,0.091 AU,11.8 days,0,K2-159,Transit,,44,-44,0.02,0,0.83,0.01,-0.01,12-07-2018,K2
1098,K2-160 b,1038,10.2 Earths,12.649,2018,Neptune-like,10.2 Earths,0.284 x Jupiter,Unknown,3.7 days,0,K2-16,Transit,,,,0.03,0,,,,07-07-2016,K2
1099,K2-161 b,3070,31.1 Earths,12.631,2018,Neptune-like,31.1 Earths,0.546 x Jupiter,Unknown,9.3 days,0,K2-16,Transit,,,,0.03,0,,,,07-07-2016,K2
1100,K2-155 c,267,7.27 Earths,12.806,2018,Neptune-like,7.27 Earths,0.232 x Jupiter,0.0946 AU,13.9 days,0,K2-160,Transit,,50,-50,0.02,0,0.91,0.04,-0.03,15-02-2018,K2
1101,K2-155 d,267,4.27 Earths,12.806,2018,Super Earth,4.27 Earths,1.9 x Earth,0.1937 AU,40.7 days,0,K2-161,Transit,,50,-50,0.08,0,2.57,0.31,-0.25,15-02-2018,K2
1102,K2-156 b,491,1.6 Earths,13.424,2018,Super Earth,1.6 Earths,1.15 x Earth,0.0149 AU,0.8 days,0,K2-162,Transit,,49,-45,0.02,0,0.69,0.01,-0.01,12-07-2018,K2
1103,K2-157 b,981,1.18 Earths,12.823,2018,Super Earth,1.18 Earths,1.055 x Earth,Unknown,0.4 days,0,K2-163,Transit,,50,-50,0.02,0,0.76,0.02,-0.01,15-02-2018,K2
1104,K2-158 b,647,7.46 Earths,11.774,2018,Neptune-like,7.46 Earths,0.236 x Jupiter,0.0887 AU,10.1 days,0,K2-164,Transit,,50,-50,0.09,0,2.2,0.31,-0.25,15-02-2018,K2
1105,K2-158 c,647,2.18 Earths,11.774,2018,Super Earth,2.18 Earths,1.28 x Earth,0.0622 AU,5.9 days,0,K2-165,Transit,,50,-50,0.03,0,0.8,0.05,-0.03,15-02-2018,K2
1106,K2-159 b,561,5.73 Earths,11.994,2018,Neptune-like,5.73 Earths,0.202 x Jupiter,0.1013 AU,12.4 days,0,K2-165,Transit,,50,-50,0.03,0,0.8,0.05,-0.03,15-02-2018,K2
1107,K2-15 b,1634,6.71 Earths,14.663,2015,Neptune-like,6.71 Earths,0.221 x Jupiter,0.091 AU,11.8 days,0,K2-165,Transit,,50,-50,0.03,0,0.8,0.05,-0.03,15-02-2018,K2
1108,K2-160 b,1038,10.2 Earths,12.649,2018,Neptune-like,10.2 Earths,0.284 x Jupiter,Unknown,3.7 days,0,K2-166,Transit,,,,0.03,0,,,,12-07-2018,K2
1109,K2-161 b,3070,31.1 Earths,12.631,2018,Neptune-like,31.1 Earths,0.546 x Jupiter,Unknown,9.3 days,0,K2-167,Transit,,50,-50,0.12,0,1.83,0.29,-0.28,15-02-2018,K2
1110,K2-16 b,1103,4.74 Earths,14.67,2015,Super Earth,4.74 Earths,2.02 x Earth,0.0667 AU,7.6 days,0,K2-168,Transit,,101,-50.5,0.06,0,0.83,0.09,-0.04,15-08-2019,K2
1111,K2-16 c,1103,6.99 Earths,14.67,2015,Neptune-like,6.99 Earths,0.227 x Jupiter,0.1229 AU,19.1 days,0,K2-169,Transit,,50,-50,0.03,0,0.92,0.05,-0.03,15-02-2018,K2
1112,K2-170 b,1296,2.6 Earths,12.633,2018,Super Earth,2.6 Earths,1.418 x Earth,Unknown,7.6 days,0,K2-17,Transit,,56,-47,0.02,0,0.66,0.02,-0.03,16-07-2015,K2
1113,K2-170 c,1296,3.9 Earths,12.633,2018,Super Earth,3.9 Earths,1.802 x Earth,Unknown,12.4 days,0,K2-170,Transit,,50,-50,0.03,0,0.98,0.11,-0.07,15-02-2018,K2
1114,K2-171 b,2011,7.69 Earths,12.66,2018,Neptune-like,7.69 Earths,0.24 x Jupiter,Unknown,5.6 days,0,K2-170,Transit,,50,-50,0.03,0,0.98,0.11,-0.07,15-02-2018,K2
1115,K2-172 b,820,3.42 Earths,12.438,2018,Super Earth,3.42 Earths,1.666 x Earth,Unknown,14.3 days,0,K2-171,Transit,,50,-50,0.06,0,1.72,0.22,-0.19,15-02-2018,K2
1116,K2-172 c,820,10.4 Earths,12.438,2018,Neptune-like,10.4 Earths,0.286 x Jupiter,Unknown,29.6 days,0,K2-172,Transit,,50,-50,0.03,0,0.87,0.04,-0.03,15-02-2018,K2
1117,K2-173 b,751,3.22 Earths,12.403,2018,Super Earth,3.22 Earths,1.608 x Earth,Unknown,5.9 days,0,K2-172,Transit,,50,-50,0.03,0,0.87,0.04,-0.03,15-02-2018,K2
1118,K2-174 b,327,7.27 Earths,12.424,2018,Neptune-like,7.27 Earths,0.232 x Jupiter,0.126 AU,19.6 days,0,K2-173,Transit,,70,-70,0.03,0,0.84,0.06,-0.04,15-02-2018,K2
1119,K2-175 b,812,4.81 Earths,10.836,2018,Super Earth,4.81 Earths,2.038 x Earth,Unknown,9.5 days,0,K2-174,Transit,,31,-29,0.03,0,0.68,0.01,-0.01,31-01-2019,K2
1120,K2-176 b,812,2.83 Earths,12.893,2018,Super Earth,2.83 Earths,1.491 x Earth,Unknown,5.3 days,0,K2-175,Transit,,50,-50,0.06,0,1.42,0.21,-0.17,15-02-2018,K2
1121,K2-177 b,1628,5.13 Earths,12.645,2018,Neptune-like,5.13 Earths,2.116 x Earth,Unknown,14.2 days,0,K2-176,Transit,,50,-50,0.02,0,0.86,0.03,-0.02,15-02-2018,K2
1122,K2-178 b,705,12.4 Earths,12.403,2018,Neptune-like,12.4 Earths,0.317 x Jupiter,Unknown,8.7 days,0,K2-177,Transit,,50,-50,0.03,0,1.21,0.09,-0.06,15-02-2018,K2
1123,K2-179 b,626,6.86 Earths,12.956,2018,Neptune-like,6.86 Earths,0.224 x Jupiter,Unknown,5.2 days,0,K2-178,Transit,,50,-50,0.02,0,0.89,0.04,-0.03,15-02-2018,K2
1124,K2-17 b,410,5.6 Earths,13.519,2015,Neptune-like,5.6 Earths,2.23 x Earth,0.119 AU,18 days,0.18,K2-179,Transit,,50,-50,0.02,0,0.77,0.02,-0.02,15-02-2018,K2
1125,K2-180 b,667,5.95 Earths,12.601,2018,Neptune-like,5.95 Earths,0.206 x Jupiter,0.0753 AU,8.9 days,0,K2-18,Transit,-1.18,39,-39,0.05,0,0.41,0.04,-0.04,21-03-2019,K2
1126,K2-181 b,1190,8.45 Earths,12.749,2018,Neptune-like,8.45 Earths,0.253 x Jupiter,0.0706 AU,6.9 days,0,K2-18,Radial Velocity,,39,-39,0.05,0,0.41,0.04,-0.04,21-12-2017,La Silla Observatory
1127,K2-182 b,509,8.05 Earths,11.997,2018,Neptune-like,8.05 Earths,0.246 x Jupiter,0.0529 AU,4.7 days,0,K2-180,Transit,,65,-65,0.03,0,0.72,0.01,-0.01,26-10-2018,K2
1128,K2-183 b,1082,7.27 Earths,12.846,2018,Neptune-like,7.27 Earths,0.232 x Jupiter,Unknown,0.5 days,0,K2-181,Transit,,91,-91,0.04,0,1.07,0.02,-0.02,26-10-2018,K2
1129,K2-183 c,1082,8.6 Earths,12.846,2018,Neptune-like,8.6 Earths,0.256 x Jupiter,0.0932 AU,10.8 days,0,K2-182,Transit,,50,-50,0.02,0,0.8,0.01,-0.01,26-10-2018,K2
1130,K2-183 d,1082,8.55 Earths,12.846,2018,Neptune-like,8.55 Earths,0.255 x Jupiter,0.1527 AU,22.6 days,0,K2-183,Transit,,88,-88,0.04,0,0.97,0.02,-0.02,15-02-2018,K2
1131,K2-184 b,247,3.02 Earths,10.345,2018,Super Earth,3.02 Earths,1.55 x Earth,0.1229 AU,17 days,0,K2-183,Transit,,88,-88,0.04,0,0.97,0.02,-0.02,26-10-2018,K2
1132,K2-185 b,882,2.28 Earths,12.215,2018,Super Earth,2.28 Earths,1.313 x Earth,Unknown,10.6 days,0,K2-183,Transit,,88,-88,0.04,0,0.97,0.02,-0.02,26-10-2018,K2
1133,K2-186 b,1089,10.2 Earths,12.307,2018,Neptune-like,10.2 Earths,0.283 x Jupiter,Unknown,41.5 days,0,K2-184,Transit,,66,-66,0.02,0,0.78,0.01,-0.01,26-10-2018,K2
1134,K2-187 b,1088,2.24 Earths,13.081,2018,Super Earth,2.24 Earths,1.3 x Earth,0.0164 AU,0.8 days,0,K2-185,Transit,,50,-50,0.03,0,0.91,0.04,-0.03,15-02-2018,K2
1135,K2-187 c,1088,3.89 Earths,13.081,2018,Super Earth,3.89 Earths,1.8 x Earth,0.0392 AU,2.9 days,0,K2-186,Transit,,50,-50,0.02,0,0.98,0.08,-0.04,15-02-2018,K2
1136,K2-187 d,1088,10.2 Earths,13.081,2018,Neptune-like,10.2 Earths,0.283 x Jupiter,0.072 AU,7.1 days,0,K2-187,Transit,,81,-81,0.04,0,0.92,0.02,-0.02,26-10-2018,K2
1137,K2-187 e,1088,6.26 Earths,13.081,2018,Neptune-like,6.26 Earths,0.212 x Jupiter,0.1106 AU,13.6 days,0,K2-187,Transit,,81,-81,0.04,0,0.92,0.02,-0.02,26-10-2018,K2
1138,K2-188 b,1477,2.39 Earths,12.646,2018,Super Earth,2.39 Earths,1.35 x Earth,0.0289 AU,1.7 days,0,K2-187,Transit,,81,-81,0.04,0,0.92,0.02,-0.02,26-10-2018,K2
1139,K2-188 c,1477,8.4 Earths,12.646,2018,Neptune-like,8.4 Earths,0.252 x Jupiter,0.0785 AU,7.8 days,0,K2-187,Transit,,81,-81,0.04,0,0.92,0.02,-0.02,26-10-2018,K2
1140,K2-189 b,796,2.92 Earths,12.399,2018,Super Earth,2.92 Earths,1.52 x Earth,0.0361 AU,2.6 days,0,K2-188,Transit,,87,-87,0.03,0,1.19,0.03,-0.03,26-10-2018,K2
1141,K2-189 c,796,6.8 Earths,12.399,2018,Neptune-like,6.8 Earths,0.223 x Jupiter,0.068 AU,6.7 days,0,K2-188,Transit,,87,-87,0.03,0,1.19,0.03,-0.03,26-10-2018,K2
1142,K2-18 b,124,8.92 Earths,13.496,2015,Super Earth,8.92 Earths,0.211 x Jupiter,0.1429 AU,32.9 days,0.2,K2-189,Transit,,67,-67,0.03,0,0.87,0.01,-0.01,26-10-2018,K2
1143,K2-18 c,124,7.51 Earths,13.496,2017,Neptune-like,7.51 Earths,0.236 x Jupiter,0.06 AU,9 days,< 0.47,K2-189,Transit,,67,-67,0.03,0,0.87,0.01,-0.01,26-10-2018,K2
1144,K2-190 b,527,2.41 Earths,11.138,2018,Super Earth,2.41 Earths,1.357 x Earth,Unknown,10.1 days,0,K2-19,Transit,,60,-60,0.05,0,0.86,0.04,-0.04,07-07-2016,K2
1145,K2-190 c,527,1.34 Earths,11.138,2018,Super Earth,1.34 Earths,1.093 x Earth,Unknown,21.6 days,0,K2-19,Transit,,60,-60,0.05,0,0.86,0.04,-0.04,07-07-2016,K2
1146,K2-191 b,945,3.12 Earths,13.258,2018,Super Earth,3.12 Earths,1.579 x Earth,Unknown,2.9 days,0,K2-19,Transit,,60,-60,0.05,0,0.86,0.04,-0.04,07-07-2016,K2
1147,K2-192 b,731,2.92 Earths,12.704,2018,Super Earth,2.92 Earths,1.52 x Earth,0.049 AU,4.2 days,0,K2-190,Transit,,50,-50,0.03,0,0.91,0.1,-0.06,15-02-2018,K2
1148,K2-193 b,1360,14.8 Earths,13.251,2018,Neptune-like,14.8 Earths,0.352 x Jupiter,0.1184 AU,14.8 days,0,K2-190,Transit,,50,-50,0.03,0,0.91,0.1,-0.06,15-02-2018,K2
1149,K2-194 b,2090,12.9 Earths,12.908,2018,Neptune-like,12.9 Earths,0.325 x Jupiter,Unknown,39.7 days,0,K2-191,Transit,,50,-50,0.03,0,0.84,0.04,-0.03,15-02-2018,K2
1150,K2-195 b,1037,9.96 Earths,12.497,2018,Neptune-like,9.96 Earths,0.279 x Jupiter,0.1208 AU,15.9 days,0,K2-192,Transit,,48,-48,0.01,0,0.81,0.01,-0.01,26-10-2018,K2
1151,K2-195 c,1037,7.16 Earths,12.497,2018,Neptune-like,7.16 Earths,0.23 x Jupiter,Unknown,28.5 days,0,K2-193,Transit,,173,-173,0.05,0,0.98,0.02,-0.02,26-10-2018,K2
1152,K2-196 b,1938,12.6 Earths,12.06,2018,Neptune-like,12.6 Earths,0.321 x Jupiter,Unknown,48.3 days,0,K2-194,Transit,,52,-52,0.05,0,1.28,0.18,-0.17,15-02-2018,K2
1153,K2-197 b,814,7.08 Earths,12.157,2018,Neptune-like,7.08 Earths,0.228 x Jupiter,0.0806 AU,8.4 days,0,K2-195,Transit,,87,-87,0.04,0,0.99,0.02,-0.02,26-10-2018,K2
1154,K2-198 b,362,16.3 Earths,10.971,2018,Neptune-like,16.3 Earths,0.374 x Jupiter,Unknown,17 days,0,K2-195,Transit,,87,-87,0.04,0,0.99,0.02,-0.02,15-02-2018,K2
1155,K2-198 c,362,2.61 Earths,10.971,2019,Super Earth,2.61 Earths,1.423 x Earth,Unknown,3.4 days,0,K2-196,Transit,,50,-50,0.07,0,1.54,0.23,-0.19,15-02-2018,K2
1156,K2-198 d,362,6.52 Earths,10.971,2019,Neptune-like,6.52 Earths,0.218 x Jupiter,Unknown,7.5 days,0,K2-197,Transit,,58,-58,0.02,0,0.93,0.01,-0.01,26-10-2018,K2
1157,K2-199 b,352,4.16 Earths,12.289,2018,Super Earth,4.16 Earths,1.87 x Earth,0.0385 AU,3.2 days,0,K2-198,Transit,,99,-49.2,0.09,0,0.76,0.04,-0.02,15-08-2019,K2
1158,K2-199 c,352,8.15 Earths,12.289,2018,Neptune-like,8.15 Earths,0.248 x Jupiter,0.0668 AU,7.4 days,0,K2-198,Transit,,99,-49.2,0.09,0,0.76,0.04,-0.02,15-08-2019,K2
1159,K2-19 b,953,28.5 Earths,13,2015,Neptune-like,28.5 Earths,0.691 x Jupiter,0.074 AU,7.9 days,0.12,K2-198,Transit,,99,-49.2,0.09,0,0.76,0.04,-0.02,15-08-2019,K2
1160,K2-19 c,953,15.9 Earths,13,2015,Neptune-like,15.9 Earths,0.434 x Jupiter,0.0971 AU,11.9 days,0,K2-199,Transit,,52,-52,0.02,0,0.68,0.01,-0.01,26-10-2018,K2
1161,K2-19 d,953,14 Earths,13,2016,Super Earth,14 Earths,1.14 x Earth,0.0344 AU,2.5 days,0,K2-199,Transit,,52,-52,0.02,0,0.68,0.01,-0.01,26-10-2018,K2
1162,K2-200 b,604,2.43 Earths,12.459,2018,Super Earth,2.43 Earths,1.364 x Earth,Unknown,2.8 days,0,K2-200,Transit,,50,-50,0.02,0,0.79,0.02,-0.02,15-02-2018,K2
1163,K2-201 b,649,2.54 Earths,12.809,2018,Super Earth,2.54 Earths,1.4 x Earth,Unknown,1.1 days,0,K2-201,Transit,,50,-50,0.02,0,0.88,0.03,-0.02,15-02-2018,K2
1164,K2-201 c,649,10.8 Earths,12.809,2018,Neptune-like,10.8 Earths,0.293 x Jupiter,Unknown,22.8 days,0,K2-201,Transit,,50,-50,0.02,0,0.88,0.03,-0.02,15-02-2018,K2
1165,K2-202 b,988,5.91 Earths,13.297,2018,Neptune-like,5.91 Earths,0.205 x Jupiter,Unknown,3.4 days,0,K2-202,Transit,,58,-58,0.03,0,0.91,0.05,-0.03,15-02-2018,K2
